x0000,y0000
25375000.,0.2805833748
25377500.,0.2840127998
25380000.,0.2844712203
25382500.,0.2939160086
25385000.,0.2870313567
25387500.,0.2969993762
25390000.,0.2933710337
25392500.,0.2991644687
25395000.,0.3005763464
25397500.,0.3056326193
25400000.,0.3073461447
25402500.,0.3127807578
25405000.,0.3121607141
25407500.,0.3200740248
25410000.,0.3158171930
25412500.,0.3222919226
25415000.,0.3238781171
25417500.,0.3184221547
25420000.,0.3291897435
25422500.,0.3236296795
25425000.,0.3232439179
25427500.,0.3249753272
25430000.,0.326161182
25432500.,0.3290946211
25435000.,0.3284945073
25437500.,0.3241307861
25440000.,0.3191324644
25442500.,0.3231026686
25445000.,0.3169473692
25447500.,0.3129549971
25450000.,0.3125304779
25452500.,0.3105818454
25455000.,0.3026805403
25457500.,0.3039675846
25460000.,0.3002077872
25462500.,0.2989967768
25465000.,0.2931864170
25467500.,0.2935879987
25470000.,0.2898606392
25472500.,0.2856560568
25475000.,0.2833012166
25477500.,0.2819147400
25480000.,0.279629146
25482500.,0.2835008047
25485000.,0.2728363099
25487500.,0.2753387458
25490000.,0.2816924120
25492500.,0.2748563243
25495000.,0.2793613397
25497500.,0.2760346251
25500000.,0.2848884341
25502500.,0.2822395498
25505000.,0.2883907044
25507500.,0.2878455565
25510000.,0.2881970361
25512500.,0.2941410938
25515000.,0.2938492865
25517500.,0.3000714824
25520000.,0.2957229923
25522500.,0.3082285181
25525000.,0.3058142561
25527500.,0.3041626633
25530000.,0.3128475408
25532500.,0.3118026497
25535000.,0.3132670513
25537500.,0.3175725318
25540000.,0.3202799605
25542500.,0.3267136769
25545000.,0.322141515
25547500.,0.3260103913
25550000.,0.3273174075
25552500.,0.3289508799
25555000.,0.328288634
25557500.,0.3306894568
25560000.,0.3209694313
25562500.,0.3257380388
25565000.,0.3215326793
25567500.,0.3216673594
25570000.,0.3260196618
25572500.,0.3111554996
25575000.,0.3212811044
25577500.,0.3121899193
25580000.,0.3042607914
25582500.,0.3092645356
25585000.,0.2953832985
25587500.,0.3035381902
25590000.,0.3013895436
25592500.,0.3003066345
25595000.,0.2883715422
25597500.,0.2955646524
25600000.,0.2918229806
25602500.,0.2794894273
25605000.,0.2835754887
25607500.,0.2784424682
25610000.,0.2771195986
25612500.,0.2761230959
